 Age N.child H.child H.child.S H.child.I S.child N.mother H.mother H.mother.S H.mother.I S.mother
0 542.125 inf inf inf inf inf inf inf inf inf inf
1 584.75 inf inf inf inf inf inf inf inf inf inf
2 614.75 inf inf inf inf inf inf inf inf inf inf
3 600.625 inf inf inf inf inf inf inf inf inf inf
4 595.25 inf inf inf inf inf inf inf inf inf inf
5 597.875 inf inf inf inf inf inf inf inf inf inf
6 606.5 inf inf inf inf inf inf inf inf inf inf
7 603.75 inf inf inf inf inf inf inf inf inf inf
8 620.875 inf inf inf inf inf inf inf inf inf inf
9 631.375 inf inf inf inf inf inf inf inf inf inf
10 623.875 inf inf inf inf inf inf inf inf inf inf
11 633.875 inf inf inf inf inf inf inf inf inf inf
12 626.125 inf inf inf inf inf inf inf inf inf inf
13 653.625 inf inf inf inf inf inf inf inf inf inf
14 691.5 inf inf inf inf inf inf inf inf inf inf
15 704.625 inf inf inf inf inf inf inf inf inf inf
16 679.25 inf inf inf inf inf inf inf inf inf inf
17 685.875 inf inf inf inf inf inf inf inf inf inf
18 687.5 inf inf inf inf inf inf inf inf inf inf
19 715.25 inf inf inf inf inf inf inf inf inf inf
20 747.875 inf inf inf inf inf inf inf inf inf inf
21 744.25 inf inf inf inf inf inf inf inf inf inf
22 708.875 inf inf inf inf inf inf inf inf inf inf
23 729.375 inf inf inf inf inf inf inf inf inf inf
24 755.0 inf inf inf inf inf inf inf inf inf inf
25 771.0 inf inf inf inf inf inf inf inf inf inf
26 788.875 inf inf inf inf inf inf inf inf inf inf
27 786.5 inf inf inf inf inf inf inf inf inf inf
28 778.625 inf inf inf inf inf inf inf inf inf inf
29 778.375 inf inf inf inf inf inf inf inf inf inf
30 778.375 inf inf inf inf inf inf inf inf inf inf
31 811.875 inf inf inf inf inf inf inf inf inf inf
32 848.375 inf inf inf inf inf inf inf inf inf inf
33 860.375 inf inf inf inf inf inf inf inf inf inf
34 870.125 inf inf inf inf inf inf inf inf inf inf
35 876.25 inf inf inf inf inf inf inf inf inf inf
36 916.875 inf inf inf inf inf inf inf inf inf inf
37 888.25 inf inf inf inf inf inf inf inf inf inf
38 902.5 inf inf inf inf inf inf inf inf inf inf
39 845.5 inf inf inf inf inf inf inf inf inf inf
40 817.125 inf inf inf inf inf inf inf inf inf inf
41 755.875 inf inf inf inf inf inf inf inf inf inf
42 768.25 inf inf inf inf inf inf inf inf inf inf
43 781.0 inf inf inf inf inf inf inf inf inf inf
44 758.0 inf inf inf inf inf inf inf inf inf inf
45 783.25 inf inf inf inf inf inf inf inf inf inf
46 792.875 inf inf inf inf inf inf inf inf inf inf
47 760.625 inf inf inf inf inf inf inf inf inf inf
48 792.125 inf inf inf inf inf inf inf inf inf inf
49 844.0 inf inf inf inf inf inf inf inf inf inf
50 843.5 inf inf inf inf inf inf inf inf inf inf
51 850.75 inf inf inf inf inf inf inf inf inf inf
52 825.125 inf inf inf inf inf inf inf inf inf inf
53 807.5 inf inf inf inf inf inf inf inf inf inf
54 776.875 inf inf inf inf inf inf inf inf inf inf
55 824.125 inf inf inf inf inf inf inf inf inf inf
56 769.25 inf inf inf inf inf inf inf inf inf inf
57 710.875 inf inf inf inf inf inf inf inf inf inf
58 692.625 inf inf inf inf inf inf inf inf inf inf
59 700.875 inf inf inf inf inf inf inf inf inf inf
60 784.75 inf inf inf inf inf inf inf inf inf inf
