Child Age N.child H.child.S H.child Schild N.mother H.mother.S H.mother Smother
hagar 577.0 364 3.51034895126 3.6010205971 1.86153846154 384 3.77678904413 4.00672973821 3.42857142857
hagar 577.704433498 403 4.21267266511 4.30215031483 2.13227513228 520 4.37935769505 4.65376254158 3.39869281046
hagar 577.861538462 647 4.47619418667 4.56230400112 2.04100946372 917 4.61091100869 4.94801235589 3.39259259259
hagar 582.739837398 981 4.6950600947 4.80768614124 2.38106796117 1305 4.68482230305 5.08283582422 3.45623342175
hagar 587.116634799 1043 4.85218229453 4.97887633671 2.35746606335 1593 4.7042996947 5.11891658019 3.65287356322
hagar 591.837022133 991 4.84507796303 4.99830712036 2.41564792176 1484 4.64644738054 5.03443059635 3.69674185464
hagar 595.534296029 828 4.74030078283 4.92454622921 2.27977839335 1761 4.73765018733 5.18507317932 3.99316628702
hagar 600.512195122 694 4.58481098942 4.74545227696 2.37931034483 1526 4.75595020982 5.15138180335 4.01587301587
hagar 605.986098239 1076 5.26668033414 5.49040134071 2.52843601896 2184 4.95355765389 5.4097907846 4.18234165067
hagar 608.429065744 864 5.2891425645 5.53789083026 2.5505952381 1462 4.86738439017 5.24129354955 4.11581920904
hagar 609.870198675 752 5.35026000646 5.58236484991 2.42950819672 1319 4.88594298151 5.31139428819 4.16139240506
hagar 613.58649789 234 4.71150090068 4.77599358418 2.18095238095 554 4.67832328109 5.02570782491 4.06617647059
hagar 614.714285714 655 5.0163996562 5.25355684963 2.04100946372 1248 4.8820632619 5.25439596677 4.18181818182
hagar 615.668888889 897 5.20723461829 5.42797230265 2.28974358974 1573 4.89510178628 5.25697511501 4.14814814815
hagar 615.899401198 832 5.17432292617 5.40428633041 2.32212885154 1384 4.86471264771 5.19719921736 4.10416666667
hagar 617.194379391 424 4.79299107386 4.94074604906 2.77124183007 684 4.54694148099 4.84388253706 4.12048192771
hagar 632.286538462 517 3.89106784277 3.96436572832 2.70157068063 121 3.93806973845 4.19831436147 4.1724137931
hagar 633.838499184 610 4.16914736342 4.26523169691 2.64628820961 256 4.43053977864 4.74317454133 4.11290322581
hagar 636.25 621 4.31045967999 4.41849213086 2.70175438596 383 4.81499856603 5.1606630577 4.18681318681
hagar 640.085561497 371 5.09626507936 5.26141911776 2.14619883041 736 5.04257388508 5.38325998226 3.796875
hagar 641.190031153 318 5.15969715493 5.32810493789 2.09271523179 716 5.00681408848 5.37186394563 3.70680628272
hagar 642.140316206 503 4.8545649049 4.98897085821 2.19213973799 1296 4.95316075521 5.29285690254 4.08917197452
hagar 649.232908459 860 5.24475249171 5.41068689909 2.55555555556 1800 5.01464750981 5.45554577419 4.22695035461
hagar 652.79562982 1553 5.08107577775 5.24838295043 3.10261569416 2766 5.02785602705 5.41404716487 4.64080944351
hagar 655.016274864 1656 5.18508687558 5.33138315354 2.99453551913 2341 4.979374434 5.36153014055 4.58661417323
hagar 656.054283291 1176 4.5981039507 4.72972759609 3.00512820513 1484 4.76135744444 5.01240777794 4.95973154362
hagar 656.257206208 448 4.45564530591 4.585981216 2.10377358491 462 4.87265093213 5.14420159347 4.07079646018
