Child,Age,N.child,H.child,H.child.S,H.child.I,Schild,N.mother,H.mother,H.mother.S,H.mother.I,Smother
becky,739,1477,4.392230174,4.312299527,0.079930647,1.366327475,4839,5.402536376,4.875469757,0.527066618,3.422206506
becky,741,1436,4.390431839,4.29617075,0.094261088,1.305454545,5064,5.406821835,4.864595063,0.542226771,3.378252168
becky,748,1356,4.41180047,4.32315522,0.08864525,1.292659676,5665,5.447867342,4.909861704,0.538005638,3.431253786
becky,753,1535,4.367004392,4.302245741,0.064758651,1.338273758,5633,5.440416465,4.919105337,0.521311128,3.462200369
becky,761,1466,4.474033955,4.39516529,0.078868665,1.347426471,5993,5.454593087,4.965104863,0.489488223,3.690270936
becky,766,1616,4.538665667,4.440120893,0.098544774,1.396715644,5439,5.448662718,4.948925335,0.499737384,3.75621547
becky,775,1602,4.764806743,4.670598828,0.094207915,1.416445623,5728,5.49622267,4.973430144,0.522792526,3.904567144
becky,779,1722,4.687880694,4.594768652,0.093112042,1.387590653,5411,5.4639422,4.915310415,0.548631785,3.881635581
becky,786,1785,4.767857045,4.675638281,0.092218764,1.412183544,6390,5.446418029,4.919992742,0.526425287,4.001252348
becky,787,1582,4.666018617,4.58254011,0.083478507,1.380453752,6176,5.428290486,4.891500041,0.536790445,4.005188067
becky,794,1518,4.702230638,4.593576213,0.108654424,1.45681382,5936,5.426290637,4.883872524,0.542418112,3.986568167
becky,801,1533,4.687935629,4.555069007,0.132866622,1.488349515,5056,5.438478566,4.872013902,0.566464664,3.663768116
becky,807,1783,4.716472259,4.571329295,0.145142964,1.569542254,4591,5.476761095,4.880629256,0.596131839,3.693483508
becky,809,2012,4.847528035,4.677724418,0.169803617,1.692178301,4737,5.514000907,4.901077835,0.612923072,3.683514774
becky,814,2015,4.800072307,4.615966684,0.184105623,1.711979609,5048,5.488866847,4.90955559,0.579311256,3.981072555
becky,817,2018,4.766660536,4.577709834,0.188950702,1.730703259,5585,5.463636172,4.898836467,0.564799705,3.783875339
becky,821,1848,4.746847108,4.578174368,0.16867274,1.700091996,5211,5.437016071,4.90757437,0.529441701,3.825991189
becky,824,1976,4.993969096,4.795126718,0.198842378,1.918446602,4930,5.436866761,4.903809812,0.533056949,3.947157726
becky,831,2139,5.009797812,4.809206574,0.200591237,2.041030534,4368,5.439439507,4.917205306,0.522234201,3.981768459
becky,835,2280,4.927196293,4.701842827,0.225353466,2.095588235,4725,5.428726345,4.896281631,0.532444714,3.911423841
becky,842,2346,4.765312427,4.524366016,0.240946411,1.973086627,4729,5.424804456,4.872137698,0.552666759,3.640492687
becky,844,2387,4.796570539,4.511893429,0.28467711,2.024597116,4814,5.435086487,4.86575143,0.569335057,3.790551181
becky,853,2373,4.944468107,4.590335924,0.354132183,2.065274151,4579,5.480414709,4.907889689,0.57252502,3.784297521
becky,861,2323,4.934418237,4.548915151,0.385503086,2.141013825,4508,5.427490286,4.863082736,0.56440755,3.807432432
becky,872,2523,5.096134076,4.707172626,0.38896145,2.21121823,4529,5.500201152,4.932156587,0.568044565,3.718390805
becky,875,2788,5.07769494,4.726796308,0.350898632,2.16291699,4278,5.515643736,4.90745221,0.608191525,3.76584507
becky,878,2935,5.127574268,4.766760878,0.36081339,2.218442933,3799,5.534577304,4.930512808,0.604064496,3.691933916
becky,879,2647,5.146290907,4.774740176,0.371550731,2.187603306,3296,5.516179967,4.908631737,0.60754823,3.670378619
becky,883,2595,5.07219238,4.667899345,0.404293035,2.252604167,3615,5.460936988,4.875737801,0.585199187,3.506304559
becky,886,2704,4.987355456,4.633747889,0.353607567,2.17538214,3637,5.437350608,4.857117149,0.580233459,3.626121635
becky,893,2718,4.89014496,4.529826424,0.360318536,2.155432197,4330,5.267693759,4.746015465,0.521678294,3.523189585
becky,900,2655,4.874055037,4.549371075,0.324683962,2.225481978,4032,5.333895006,4.769838663,0.564056343,3.362802335
becky,911,2654,4.88433591,4.529454226,0.354881684,2.373881932,4522,5.324045375,4.797708716,0.526336659,3.264981949
becky,913,3365,5.00343387,4.650953707,0.352480163,2.616640747,3596,5.433568683,4.896784389,0.536784294,3.281021898
becky,918,3484,4.991228587,4.635578201,0.355650386,2.601941748,3773,5.348756083,4.827716641,0.521039442,3.487060998
becky,923,3642,4.98848142,4.664770282,0.323711138,2.689807976,3407,5.409309865,4.844989235,0.56432063,3.687229437
becky,931,2929,4.970357836,4.646896868,0.323460969,2.631626235,3258,5.430588902,4.866600824,0.563988078,3.537459283
becky,934,2837,4.937003743,4.59216284,0.344840903,2.689099526,3183,5.41124784,4.894158935,0.517088905,3.572390572
becky,940,2556,4.962460602,4.5911849,0.371275702,2.597560976,3316,5.361859289,4.853480358,0.508378932,3.461377871
becky,941,2798,4.89262321,4.560292282,0.332330928,2.564619615,3577,5.353881473,4.825320875,0.528560598,3.541584158
becky,944,3262,4.898919256,4.568130266,0.330788991,2.620080321,3260,5.346047235,4.817954369,0.528092866,3.475479744
becky,946,3334,4.794662716,4.477512471,0.317150245,2.619010212,3216,5.377857336,4.878773727,0.499083609,3.537953795
becky,952,2870,4.842233526,4.496936237,0.345297289,2.590252708,3082,5.416113779,4.909298534,0.506815245,3.604678363
becky,959,2733,4.794170949,4.486259391,0.307911558,2.500457457,3040,5.451725621,4.933469025,0.518256596,3.51039261
